role,region,mu1,mu2,directory_tag,source_lhs_group,source_lhs_index
baseline_training,baseline_grid,4.25,0.015,mu1_4.250_mu2_0.0150,,
baseline_training,baseline_grid,4.25,0.0225,mu1_4.250_mu2_0.0225,,
baseline_training,baseline_grid,4.25,0.03,mu1_4.250_mu2_0.0300,,
baseline_training,baseline_grid,4.875,0.015,mu1_4.875_mu2_0.0150,,
baseline_training,verification,4.875,0.0225,mu1_4.875_mu2_0.0225,,
baseline_training,baseline_grid,4.875,0.03,mu1_4.875_mu2_0.0300,,
baseline_training,baseline_grid,5.5,0.015,mu1_5.500_mu2_0.0150,,
baseline_training,baseline_grid,5.5,0.0225,mu1_5.500_mu2_0.0225,,
baseline_training,baseline_grid,5.5,0.03,mu1_5.500_mu2_0.0300,,
lhs_enrichment,interior_original_box,4.824811971771383,0.02152679730846974,mu1_4.825_mu2_0.0215,interior,1
lhs_enrichment,interior_original_box,5.471856644412648,0.02836985413304837,mu1_5.472_mu2_0.0284,interior,10
lhs_enrichment,interior_original_box,4.778723566728639,0.02996190862112817,mu1_4.779_mu2_0.0300,interior,0
lhs_enrichment,interior_original_box,5.408696517570656,0.01877429280903711,mu1_5.409_mu2_0.0188,interior,16
lhs_enrichment,interior_original_box,4.349256872219145,0.02405098306274852,mu1_4.349_mu2_0.0241,interior,2
lhs_enrichment,interior_original_box,4.532226167801234,0.0176702202682186,mu1_4.532_mu2_0.0177,interior,4
lhs_enrichment,interior_original_box,5.168983368184966,0.02465052990793067,mu1_5.169_mu2_0.0247,interior,7
lhs_enrichment,interior_original_box,4.903737193471965,0.02682542551087353,mu1_4.904_mu2_0.0268,interior,13
lhs_enrichment,interior_original_box,4.392158935690543,0.02027579854780287,mu1_4.392_mu2_0.0203,interior,8
lhs_enrichment,left_margin,3.948669015057046,0.0187135158082972,mu1_3.949_mu2_0.0187,exterior,1
lhs_enrichment,right_margin,5.54632990527941,0.02100446946018422,mu1_5.546_mu2_0.0210,exterior,6
lhs_enrichment,top_margin,4.782616811019833,0.03249959380388114,mu1_4.783_mu2_0.0325,exterior,12
lhs_enrichment,bottom_margin,4.98791252545431,0.01128366619184359,mu1_4.988_mu2_0.0113,exterior,17
lhs_enrichment,right_margin,5.701399550900485,0.03138408389968186,mu1_5.701_mu2_0.0314,exterior,9
lhs_enrichment,left_margin,3.980381520588758,0.03172645159943074,mu1_3.980_mu2_0.0317,exterior,3
lhs_enrichment,right_margin,5.657672594195537,0.01229106432768257,mu1_5.658_mu2_0.0123,exterior,8
lhs_enrichment,left_margin,4.054596621633874,0.02512774984603684,mu1_4.055_mu2_0.0251,exterior,2
lhs_enrichment,bottom_margin,4.477937623563093,0.01340955616649932,mu1_4.478_mu2_0.0134,exterior,16
