point: offgrid1
mu1: 4.56
mu2: 0.019
n_primary: 10
n_tot: 151
requested_secondary_error_percent: 1.0
actual_secondary_error_percent: 1.0
ann_secondary_error_percent: 14.522856759920916
state_error_percent_vs_hdm: 0.4515915819844939
state_error_percent_vs_linear_prom: 0.10130267665856887
primary_q_error_percent_vs_linear_prom: 0.09496343902296735
total_q_error_percent_vs_linear_prom: 0.23321423523233833
n_time_used: 501
online_solve_elapsed_s: 74.86333179473877
num_iterations: 1500
jac_time_s: 29.403948307037354
res_time_s: 3.8106443881988525
ls_time_s: 29.196160316467285
linear_qn_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/euclidean_prom_main/Runs/Linear/linear_prom_mu1_4.560_mu2_0.0190_ntot151/qN.npy
ann_qn_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/euclidean_prom_main/Runs/ROM/DataDriven_MasterANN/rom_data_driven_mu1_4.560_mu2_0.0190_ntot151/qN.npy
basis_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy
u_ref_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/u_ref.npy
solver_variant: plain
