point: offgrid1
mu1: 4.56
mu2: 0.019
n_primary: 10
n_tot: 151
requested_secondary_error_percent: 0.0
actual_secondary_error_percent: 0.0
ann_secondary_error_percent: 14.522856759920916
state_error_percent_vs_hdm: 0.4498168376542458
state_error_percent_vs_linear_prom: 0.00023702155595464408
primary_q_error_percent_vs_linear_prom: 0.0005585969572221893
total_q_error_percent_vs_linear_prom: 0.0005456598258686484
n_time_used: 501
online_solve_elapsed_s: 74.56354117393494
num_iterations: 1500
jac_time_s: 29.2391939163208
res_time_s: 3.7560982704162598
ls_time_s: 29.89244556427002
linear_qn_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/euclidean_prom_main/Runs/Linear/linear_prom_mu1_4.560_mu2_0.0190_ntot151/qN.npy
ann_qn_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/euclidean_prom_main/Runs/ROM/DataDriven_MasterANN/rom_data_driven_mu1_4.560_mu2_0.0190_ntot151/qN.npy
basis_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy
u_ref_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/u_ref.npy
solver_variant: plain
