point: offgrid1
mu1: 4.56
mu2: 0.019
n_primary: 10
n_tot: 151
requested_secondary_error_percent: 3.0
actual_secondary_error_percent: 2.9999999999999996
ann_secondary_error_percent: 14.522856759920916
state_error_percent_vs_hdm: 0.5182162409462687
state_error_percent_vs_linear_prom: 0.3036456302505204
primary_q_error_percent_vs_linear_prom: 0.2833320167491271
total_q_error_percent_vs_linear_prom: 0.6990386214491656
n_time_used: 501
online_solve_elapsed_s: 75.56328392028809
num_iterations: 1500
jac_time_s: 29.27353858947754
res_time_s: 3.8003787994384766
ls_time_s: 29.47320580482483
linear_qn_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/euclidean_prom_main/Runs/Linear/linear_prom_mu1_4.560_mu2_0.0190_ntot151/qN.npy
ann_qn_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/euclidean_prom_main/Runs/ROM/DataDriven_MasterANN/rom_data_driven_mu1_4.560_mu2_0.0190_ntot151/qN.npy
basis_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy
u_ref_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/u_ref.npy
solver_variant: plain
