point: offgrid1
mu1: 4.56
mu2: 0.019
n_primary: 10
n_tot: 151
requested_secondary_error_percent: 14.522856759921
actual_secondary_error_percent: 14.522856759921002
ann_secondary_error_percent: 14.522856759920916
state_error_percent_vs_hdm: 1.4875532835372114
state_error_percent_vs_linear_prom: 1.4616821443469181
primary_q_error_percent_vs_linear_prom: 1.3217089585690238
total_q_error_percent_vs_linear_prom: 3.3650155621805755
n_time_used: 501
online_solve_elapsed_s: 73.36840867996216
num_iterations: 1500
jac_time_s: 28.650384426116943
res_time_s: 3.769679546356201
ls_time_s: 28.564948558807373
linear_qn_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/euclidean_prom_main/Runs/Linear/linear_prom_mu1_4.560_mu2_0.0190_ntot151/qN.npy
ann_qn_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/euclidean_prom_main/Runs/ROM/DataDriven_MasterANN/rom_data_driven_mu1_4.560_mu2_0.0190_ntot151/qN.npy
basis_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy
u_ref_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/u_ref.npy
solver_variant: plain
