role,region,mu1,mu2,directory_tag
baseline_training,baseline_grid,4.25,0.015,mu1_4.250_mu2_0.0150
baseline_training,baseline_grid,4.25,0.0225,mu1_4.250_mu2_0.0225
baseline_training,baseline_grid,4.25,0.03,mu1_4.250_mu2_0.0300
baseline_training,baseline_grid,4.875,0.015,mu1_4.875_mu2_0.0150
baseline_training,verification,4.875,0.0225,mu1_4.875_mu2_0.0225
baseline_training,baseline_grid,4.875,0.03,mu1_4.875_mu2_0.0300
baseline_training,baseline_grid,5.5,0.015,mu1_5.500_mu2_0.0150
baseline_training,baseline_grid,5.5,0.0225,mu1_5.500_mu2_0.0225
baseline_training,baseline_grid,5.5,0.03,mu1_5.500_mu2_0.0300
lhs_enrichment,interior_original_box,4.824811971771383,0.02152679730846974,mu1_4.825_mu2_0.0215
lhs_enrichment,interior_original_box,5.471856644412648,0.02836985413304837,mu1_5.472_mu2_0.0284
lhs_enrichment,interior_original_box,4.778723566728639,0.02996190862112817,mu1_4.779_mu2_0.0300
lhs_enrichment,interior_original_box,5.408696517570656,0.01877429280903711,mu1_5.409_mu2_0.0188
lhs_enrichment,left_margin,3.948669015057046,0.0187135158082972,mu1_3.949_mu2_0.0187
lhs_enrichment,right_margin,5.54632990527941,0.02100446946018422,mu1_5.546_mu2_0.0210
lhs_enrichment,top_margin,4.782616811019833,0.03249959380388114,mu1_4.783_mu2_0.0325
lhs_enrichment,bottom_margin,4.98791252545431,0.01128366619184359,mu1_4.988_mu2_0.0113
evaluation_excluded,verification,4.875,0.0225,mu1_4.875_mu2_0.0225
evaluation_excluded,evaluation_1,4.56,0.019,mu1_4.560_mu2_0.0190
evaluation_excluded,evaluation_2,5.19,0.026,mu1_5.190_mu2_0.0260
evaluation_excluded,evaluation_3,4,0.033,mu1_4.000_mu2_0.0330
