method,point,state_error_percent,coefficient_error_percent,online_seconds,direction_seconds
case2_known_initial,0,1.1617898145932348,2.654634195480542,116.66083093453199,0.0028109094128012657
adaptive3_known_initial,0,0.41154475272719304,0.08689534069284388,199.80401001963764,73.14759031869471
case1_known_initial,0,0.41770511275806244,0.32603553033666693,463.80626747198403,0.0
case3_known_initial,0,0.40757704982455456,0.22534813115424915,539.5764326266944,0.0
case2_known_initial,1,1.9465738583186918,4.454247467470239,84.49597811885178,0.00276360847055912
adaptive3_known_initial,1,0.4456622413517308,0.2662657228175331,162.63287408743054,65.70578374061733
case1_known_initial,1,0.5425289675868098,0.7493586773650807,429.9524221466854,0.0
case3_known_initial,1,0.5117553331367709,0.7116944063424455,459.108820727095,0.0
case2_known_initial,2,1.74332092530396,3.925675087064645,83.89701628684998,0.002698616124689579
adaptive3_known_initial,2,0.48314500446545866,0.2908193385265582,161.93319833558053,65.01740334555507
case1_known_initial,2,0.7364637194965564,1.393378822197616,497.2556766225025,0.0
case3_known_initial,2,0.5627653947538341,0.7986533914443293,436.2849954534322,0.0
case2_known_initial,3,2.6428313903487783,6.104201758783119,88.19035536050797,0.0027853986248373985
adaptive3_known_initial,3,0.8502504776064018,0.4413454872313862,165.2910852720961,66.38561317604035
case1_known_initial,3,1.672863301410191,3.3028063546557367,432.9013651339337,0.0
case3_known_initial,3,1.5207566998998552,2.6436792875255626,438.56189654394984,0.0
