point: offgrid2
mu1: 5.19
mu2: 0.026
n_primary: 10
n_tot: 151
requested_secondary_error_percent: 15.0
actual_secondary_error_percent: 15.0
ann_secondary_error_percent: 16.425216130723648
state_error_percent_vs_hdm: 1.3960303315454594
state_error_percent_vs_linear_prom: 1.3667789230995997
primary_q_error_percent_vs_linear_prom: 0.6022385063794328
total_q_error_percent_vs_linear_prom: 3.1110488484850367
n_time_used: 501
online_solve_elapsed_s: 75.91067743301392
num_iterations: 1500
jac_time_s: 29.262829542160034
res_time_s: 3.833489418029785
ls_time_s: 29.215964794158936
linear_qn_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/euclidean_prom_main/Runs/Linear/linear_prom_mu1_5.190_mu2_0.0260_ntot151/qN.npy
ann_qn_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/euclidean_prom_main/Runs/ROM/DataDriven_MasterANN/rom_data_driven_mu1_5.190_mu2_0.0260_ntot151/qN.npy
basis_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy
u_ref_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/u_ref.npy
solver_variant: plain
