point: offgrid2
mu1: 5.19
mu2: 0.026
n_primary: 10
n_tot: 151
requested_secondary_error_percent: 20.0
actual_secondary_error_percent: 20.0
ann_secondary_error_percent: 16.425216130723648
state_error_percent_vs_hdm: 1.8282264639078756
state_error_percent_vs_linear_prom: 1.8199580032702853
primary_q_error_percent_vs_linear_prom: 0.772826490685819
total_q_error_percent_vs_linear_prom: 4.142570648898241
n_time_used: 501
online_solve_elapsed_s: 75.49718236923218
num_iterations: 1500
jac_time_s: 29.465410470962524
res_time_s: 3.8530056476593018
ls_time_s: 29.991626262664795
linear_qn_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/euclidean_prom_main/Runs/Linear/linear_prom_mu1_5.190_mu2_0.0260_ntot151/qN.npy
ann_qn_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/euclidean_prom_main/Runs/ROM/DataDriven_MasterANN/rom_data_driven_mu1_5.190_mu2_0.0260_ntot151/qN.npy
basis_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy
u_ref_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/u_ref.npy
solver_variant: plain
