point: offgrid2
mu1: 5.19
mu2: 0.026
n_primary: 10
n_tot: 151
requested_secondary_error_percent: 75.0
actual_secondary_error_percent: 75.0
ann_secondary_error_percent: 16.425216130723648
state_error_percent_vs_hdm: 7.886577529908369
state_error_percent_vs_linear_prom: 7.930541450252808
primary_q_error_percent_vs_linear_prom: 9.827761842972036
total_q_error_percent_vs_linear_prom: 18.051421067219593
n_time_used: 501
online_solve_elapsed_s: 63.738322257995605
num_iterations: 1467
jac_time_s: 26.350480556488037
res_time_s: 3.659780263900757
ls_time_s: 26.28978395462036
linear_qn_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/euclidean_prom_main/Runs/Linear/linear_prom_mu1_5.190_mu2_0.0260_ntot151/qN.npy
ann_qn_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/euclidean_prom_main/Runs/ROM/DataDriven_MasterANN/rom_data_driven_mu1_5.190_mu2_0.0260_ntot151/qN.npy
basis_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/basis.npy
u_ref_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Paper/MetricStudy/euclidean/Stage1/u_ref.npy
solver_variant: plain
