case,point,mu1,mu2,n_primary,n_tot,requested_secondary_error_percent,actual_secondary_error_percent,reference_secondary_error_percent,ann_secondary_error_percent,state_error_percent_vs_hdm,state_error_percent_vs_linear_prom,primary_q_error_percent_vs_linear_prom,total_q_error_percent_vs_linear_prom,n_time_used,online_solve_elapsed_s,num_iterations,jac_time_s,res_time_s,ls_time_s,native_ann_reproduction_max_abs
case3,extrapolation20pct,4.0,0.033,10,151,0.0,0.002458050948851758,0.0,9.261174072351007,0.8675458807682829,0.00022512036735374333,0.0002877566607922255,0.0005404910805790633,501,240.2952707321383,1999,148.81818151474,3.273052930831909,31.522085428237915,0.0
case3,extrapolation20pct,4.0,0.033,10,151,10.0,9.888261089568575,10.0,9.261174072351007,1.455360904179764,1.092210480043394,1.8381252395664283,2.5873961679844815,501,204.0922795557417,1771,128.48680233955383,2.8522684574127197,21.74077582359314,0.0
case3,extrapolation20pct,4.0,0.033,10,151,15.0,14.899374977861592,15.000000000000002,9.261174072351007,1.915723839814602,1.6345934253658885,2.731894833168548,3.8728399985464708,501,190.25695799198002,1695,119.6520266532898,2.6012840270996094,20.988991260528564,0.0
case3,extrapolation20pct,4.0,0.033,10,151,1.0,0.9764137728494606,1.0000000000000002,9.261174072351007,0.8847594201214122,0.10839008468678916,0.1834139225819323,0.2568036285404195,501,236.81458249408752,1999,150.39537811279297,3.319722890853882,25.496130228042603,0.0
case3,extrapolation20pct,4.0,0.033,10,151,20.0,19.925912451919892,20.0,9.261174072351007,2.399459084675405,2.166856323720497,3.588372955434539,5.135255068418296,501,193.0528187281452,1658,116.10212969779968,2.564072608947754,23.10897660255432,0.0
case3,extrapolation20pct,4.0,0.033,10,151,30.0,29.974159854633957,30.000000000000004,9.261174072351007,3.369819886825418,3.1914747263547887,5.163974427996899,7.568977007574349,501,188.41784439003095,1613,112.47212553024292,2.431154727935791,23.001184701919556,0.0
case3,extrapolation20pct,4.0,0.033,10,151,3.0,2.9392011113225216,3.0000000000000004,9.261174072351007,0.9559121130031151,0.32623371406646756,0.5518820725234453,0.7728714927484069,501,227.62956348992884,1946,144.2466459274292,3.151092529296875,27.755926847457886,0.0
case3,extrapolation20pct,4.0,0.033,10,151,50.0,50.01542771582466,50.000000000000014,9.261174072351007,5.222553216178626,5.091313440043973,7.781548213519428,12.095294610422355,501,173.92850073007867,1528,104.18802404403687,2.2440149784088135,18.055628299713135,0.0
case3,extrapolation20pct,4.0,0.033,10,151,5.0,4.913485688431063,5.0,9.261174072351007,1.0675488369009472,0.5449437437527099,0.9210373670188466,1.2909491089387686,501,226.76845019683242,1885,138.01800775527954,3.0180976390838623,26.98526930809021,0.0
case3,extrapolation20pct,4.0,0.033,10,151,9.261174072351,9.150314134430694,9.261174072351007,9.261174072351007,1.391638304724316,1.0114917300174144,1.703649080141905,2.3961543079009218,501,206.98657952994108,1785,128.26873207092285,2.853311538696289,25.42713952064514,0.0
case3,offgrid1,4.56,0.019,10,151,0.0,0.004573903922255546,0.0,2.312066941732827,0.45949784697634666,0.000484281977911953,0.0005869901700918187,0.0011434579207122244,501,236.30994410719723,1969,147.7023205757141,3.194906711578369,30.463040828704834,0.0
