model_name: case2_gpr_mu_t_ns141.pt
model_path: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/Results_Maday/maday_clean_try04/Stage3/models/case2_gpr_mu_t_ns141.pt
dataset_root: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Stage2/prom_coeff_dataset_ntot151/per_mu
dataset_dir: /home/kratos/burgers2d-rom-workbench/Project_YvonMaday/250x250/Results/Stage2/prom_coeff_dataset_ntot151
dataset_ntot: 151
dataset_backend: prom
primary_modes: 10
secondary_modes: 141
samples_M: 4509
in_dim: 3
n_s: 141
kernel_init: 1**2 * Matern(length_scale=[1, 1, 1], nu=1.5)
kernel_learned: 5.47**2 * Matern(length_scale=[0.000176, 7.42, 0.259], nu=1.5)
train_rel_frob_percent: 5.837593297443644e-05
val_rel_frob_percent: 42.76391936390625
train_mse: 1.8024272538485415e-11
val_mse: 9.442129516839588
train_used_after_duplicates: 4008
val_used: 501
elapsed_s: 7813.402793169022
