role,mu1,mu2,directory_tag
baseline_training,4.25,0.015,mu1_4.250_mu2_0.0150
baseline_training,4.25,0.0225,mu1_4.250_mu2_0.0225
baseline_training,4.25,0.03,mu1_4.250_mu2_0.0300
baseline_training,4.875,0.015,mu1_4.875_mu2_0.0150
baseline_verification,4.875,0.0225,mu1_4.875_mu2_0.0225
baseline_training,4.875,0.03,mu1_4.875_mu2_0.0300
baseline_training,5.5,0.015,mu1_5.500_mu2_0.0150
baseline_training,5.5,0.0225,mu1_5.500_mu2_0.0225
baseline_training,5.5,0.03,mu1_5.500_mu2_0.0300
lhs_enrichment,5.29282686581359,0.02764383382093462,mu1_5.293_mu2_0.0276
lhs_enrichment,5.44459091715784,0.02921347589870394,mu1_5.445_mu2_0.0292
lhs_enrichment,5.095118867680851,0.01623051895950825,mu1_5.095_mu2_0.0162
lhs_enrichment,4.767330774594245,0.02413567972895752,mu1_4.767_mu2_0.0241
lhs_enrichment,4.274186126517374,0.02853614661080756,mu1_4.274_mu2_0.0285
lhs_enrichment,4.898690241877668,0.0179189618284149,mu1_4.899_mu2_0.0179
lhs_enrichment,5.32717361910237,0.0294209161086876,mu1_5.327_mu2_0.0294
lhs_enrichment,4.622711405901518,0.01532002615247556,mu1_4.623_mu2_0.0153
lhs_enrichment,4.863489512472564,0.02613739017517903,mu1_4.863_mu2_0.0261
lhs_enrichment,5.349670979971384,0.02266730860334026,mu1_5.350_mu2_0.0227
lhs_enrichment,4.838363474124768,0.02238612014065415,mu1_4.838_mu2_0.0224
lhs_enrichment,4.33933118499723,0.01745888705712798,mu1_4.339_mu2_0.0175
lhs_enrichment,5.129821546627111,0.01712321869302259,mu1_5.130_mu2_0.0171
lhs_enrichment,4.645120785002521,0.02791851056330392,mu1_4.645_mu2_0.0279
lhs_enrichment,5.421115778944561,0.02729203158898717,mu1_5.421_mu2_0.0273
lhs_enrichment,5.037332459620374,0.02052088475647367,mu1_5.037_mu2_0.0205
lhs_enrichment,4.461285615687198,0.02336306703343045,mu1_4.461_mu2_0.0234
lhs_enrichment,4.50400355102111,0.02479425221329519,mu1_4.504_mu2_0.0248
lhs_enrichment,4.701356693713354,0.02822709058569193,mu1_4.701_mu2_0.0282
lhs_enrichment,4.725851210055774,0.0154627273071995,mu1_4.726_mu2_0.0155
