role,region,mu1,mu2,directory_tag
baseline_training,baseline_grid,4.25,0.015,mu1_4.250_mu2_0.0150
baseline_training,baseline_grid,4.25,0.0225,mu1_4.250_mu2_0.0225
baseline_training,baseline_grid,4.25,0.03,mu1_4.250_mu2_0.0300
baseline_training,baseline_grid,4.875,0.015,mu1_4.875_mu2_0.0150
baseline_training,verification,4.875,0.0225,mu1_4.875_mu2_0.0225
baseline_training,baseline_grid,4.875,0.03,mu1_4.875_mu2_0.0300
baseline_training,baseline_grid,5.5,0.015,mu1_5.500_mu2_0.0150
baseline_training,baseline_grid,5.5,0.0225,mu1_5.500_mu2_0.0225
baseline_training,baseline_grid,5.5,0.03,mu1_5.500_mu2_0.0300
lhs_enrichment,interior_original_box,4.778723566728639,0.02996190862112817,mu1_4.779_mu2_0.0300
lhs_enrichment,interior_original_box,4.824811971771383,0.02152679730846974,mu1_4.825_mu2_0.0215
lhs_enrichment,interior_original_box,4.349256872219145,0.02405098306274852,mu1_4.349_mu2_0.0241
lhs_enrichment,interior_original_box,5.124813844022638,0.02435911551260474,mu1_5.125_mu2_0.0244
lhs_enrichment,interior_original_box,4.532226167801234,0.0176702202682186,mu1_4.532_mu2_0.0177
lhs_enrichment,interior_original_box,5.079622261157021,0.02720896337047828,mu1_5.080_mu2_0.0272
lhs_enrichment,interior_original_box,4.484761795207999,0.02520876865629307,mu1_4.485_mu2_0.0252
lhs_enrichment,interior_original_box,5.168983368184966,0.02465052990793067,mu1_5.169_mu2_0.0247
lhs_enrichment,interior_original_box,4.392158935690543,0.02027579854780287,mu1_4.392_mu2_0.0203
lhs_enrichment,interior_original_box,4.578138400621373,0.02115995758712767,mu1_4.578_mu2_0.0212
lhs_enrichment,interior_original_box,5.471856644412648,0.02836985413304837,mu1_5.472_mu2_0.0284
lhs_enrichment,interior_original_box,4.931655013858405,0.02776261774713287,mu1_4.932_mu2_0.0278
lhs_enrichment,interior_original_box,4.751507437459282,0.01928390995500916,mu1_4.752_mu2_0.0193
lhs_enrichment,interior_original_box,4.903737193471965,0.02682542551087353,mu1_4.904_mu2_0.0268
lhs_enrichment,interior_original_box,4.729957000460793,0.01970566406573612,mu1_4.730_mu2_0.0197
lhs_enrichment,interior_original_box,4.664123784335021,0.0182722512805284,mu1_4.664_mu2_0.0183
lhs_enrichment,interior_original_box,5.408696517570656,0.01877429280903711,mu1_5.409_mu2_0.0188
lhs_enrichment,interior_original_box,4.378380834342339,0.02256957204996154,mu1_4.378_mu2_0.0226
lhs_enrichment,left_margin,4.219208274383525,0.01316107650213863,mu1_4.219_mu2_0.0132
lhs_enrichment,left_margin,3.948669015057046,0.0187135158082972,mu1_3.949_mu2_0.0187
lhs_enrichment,left_margin,4.054596621633874,0.02512774984603684,mu1_4.055_mu2_0.0251
lhs_enrichment,left_margin,3.980381520588758,0.03172645159943074,mu1_3.980_mu2_0.0317
lhs_enrichment,left_margin,4.195755114362277,0.01570335170577674,mu1_4.196_mu2_0.0157
lhs_enrichment,right_margin,5.772742220324542,0.01806186135896945,mu1_5.773_mu2_0.0181
lhs_enrichment,right_margin,5.54632990527941,0.02100446946018422,mu1_5.546_mu2_0.0210
lhs_enrichment,right_margin,5.509273514016477,0.01531758790187164,mu1_5.509_mu2_0.0153
lhs_enrichment,right_margin,5.657672594195537,0.01229106432768257,mu1_5.658_mu2_0.0123
lhs_enrichment,right_margin,5.701399550900485,0.03138408389968186,mu1_5.701_mu2_0.0314
lhs_enrichment,top_margin,5.058387990472589,0.03373659414654945,mu1_5.058_mu2_0.0337
lhs_enrichment,top_margin,4.330737782183792,0.03169145418380876,mu1_4.331_mu2_0.0317
lhs_enrichment,top_margin,4.782616811019833,0.03249959380388114,mu1_4.783_mu2_0.0325
lhs_enrichment,top_margin,4.504549114998488,0.03011074323435222,mu1_4.505_mu2_0.0301
lhs_enrichment,bottom_margin,5.428839169524402,0.01217668325529635,mu1_5.429_mu2_0.0122
lhs_enrichment,bottom_margin,4.686544188842029,0.01412555417486171,mu1_4.687_mu2_0.0141
lhs_enrichment,bottom_margin,4.477937623563093,0.01340955616649932,mu1_4.478_mu2_0.0134
lhs_enrichment,bottom_margin,4.98791252545431,0.01128366619184359,mu1_4.988_mu2_0.0113
evaluation_excluded,verification,4.875,0.0225,mu1_4.875_mu2_0.0225
evaluation_excluded,evaluation_1,4.56,0.019,mu1_4.560_mu2_0.0190
evaluation_excluded,evaluation_2,5.19,0.026,mu1_5.190_mu2_0.0260
evaluation_excluded,evaluation_3,4,0.033,mu1_4.000_mu2_0.0330
